"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"307449461","121","STATEN ISLAND","05/31/2025","23:31:00","06/01/2025","01:09:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","PARKING LOT/GARAGE (PRIVATE)","06/03/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE","M","942556","171417","40.637088","-74.150224","(40.637088, -74.150224)","POINT (-74.150224 40.637088)"
"304514797","123","STATEN ISLAND","01/10/2025","00:51:00","01/10/2025","01:18:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","04/09/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE","M","935208","139528","40.549522","-74.176469","(40.549522, -74.176469)","POINT (-74.176469 40.549522)"
"304847615","120","STATEN ISLAND","04/16/2025","13:04:00","04/16/2025","13:25:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO STATEN ISLAND","263","ARSON 2,3,4","RESIDENCE-HOUSE","04/16/2025","(null)","25-44","WHITE HISPANIC","M",,"UNKNOWN","UNKNOWN","M","952307","171672","40.637828","-74.115095","(40.637828, -74.115095)","POINT (-74.115095 40.637828)"
"313407936","122","STATEN ISLAND","09/24/2025","01:00:00","09/24/2025","01:10:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO STATEN ISLAND","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","09/24/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","953146","145289","40.565414","-74.11195","(40.565414, -74.11195)","POINT (-74.11195 40.565414)"
"312100974","123","STATEN ISLAND","08/29/2025","17:30:00","08/29/2025","18:15:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO STATEN ISLAND","263","ARSON 2,3,4","RESIDENCE-HOUSE","08/29/2025","(null)","<18","BLACK","U",,"45-64","WHITE","M","935100","129213","40.521207","-74.176782","(40.521207, -74.176782)","POINT (-74.176782 40.521207)"
"302104189","123","STATEN ISLAND","03/04/2025","20:50:00","03/04/2025","21:10:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE-HOUSE","03/04/2025","(null)","UNKNOWN","UNKNOWN","M",,"45-64","WHITE","M","929816","126687","40.514245","-74.195767","(40.514245, -74.195767)","POINT (-74.195767 40.514245)"
"309440112","120","STATEN ISLAND","07/04/2025","19:45:00","07/04/2025","23:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","07/05/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","ASIAN / PACIFIC ISLANDER","M","951456","170457","40.634492","-74.118153","(40.634492, -74.118153)","POINT (-74.118153 40.634492)"
"313014374","123","STATEN ISLAND","09/15/2025","19:37:00","09/15/2025","19:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","OPEN AREAS (OPEN LOTS)","09/16/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE HISPANIC","M","917711","131579","40.527591","-74.239349","(40.527591, -74.239349)","POINT (-74.239349 40.527591)"
"307476369","121","STATEN ISLAND","06/02/2025","23:00:00","06/03/2025","01:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","06/03/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","WHITE","M","939721","155394","40.593093","-74.160333","(40.593093, -74.160333)","POINT (-74.160333 40.593093)"
"311702362","123","STATEN ISLAND","05/31/2025","00:16:00","05/31/2025","01:16:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO STATEN ISLAND","263","ARSON 2,3,4","RESIDENCE-HOUSE","08/23/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","922548","128384","40.518855","-74.221922","(40.518855, -74.221922)","POINT (-74.221922 40.518855)"
"299804171","120","STATEN ISLAND","01/14/2025","07:21:00","01/14/2025","07:51:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO STATEN ISLAND","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","01/21/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","F","960913","165939","40.622118","-74.084064","(40.622118, -74.084064)","POINT (-74.084064 40.622118)"
"309000074","72","BROOKLYN","06/21/2025","00:48:00","06/21/2025","02:00:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","COMMERCIAL BUILDING","07/02/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","980200","175909","40.649514","-74.014595","(40.649514, -74.014595)","POINT (-74.014595 40.649514)"
"312435483","120","STATEN ISLAND","09/05/2025","23:12:00","09/05/2025","23:20:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","09/05/2025","(null)","25-44","WHITE HISPANIC","M",,"45-64","UNKNOWN","F","963729","168399","40.628879","-74.07393","(40.628879, -74.07393)","POINT (-74.07393 40.628879)"
"304587659","120","STATEN ISLAND","04/10/2025","08:30:00","04/10/2025","10:30:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO STATEN ISLAND","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE-HOUSE","04/11/2025","(null)","25-44","WHITE","M",,"25-44","UNKNOWN","F","964487","159800","40.605278","-74.071173","(40.605278, -74.071173)","POINT (-74.071173 40.605278)"
"301779445","76","BROOKLYN","02/26/2025","22:30:00","02/26/2025","22:54:00","COMPLETED","(null)","268","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","02/27/2025","(null)","UNKNOWN","UNKNOWN","U",,"18-24","UNKNOWN","M","981842","185678","40.67633","-74.008682","(40.67633, -74.008682)","POINT (-74.008682 40.67633)"
"299362759","1","MANHATTAN","01/10/2025","02:46:00","01/10/2025","03:21:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","01/13/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE","M","982024","199196","40.713434","-74.00803","(40.713434, -74.00803)","POINT (-74.00803 40.713434)"
"308607029","10","MANHATTAN","06/20/2025","16:20:00",,"(null)","COMPLETED","(null)","553","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","06/25/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","E","983737","212230","40.749208","-74.00185","(40.749208, -74.00185)","POINT (-74.00185 40.749208)"
"310456505","10","MANHATTAN","07/29/2025","12:00:00","07/30/2025","00:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","07/30/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE","M","983746","211928","40.748379","-74.001818","(40.748379, -74.001818)","POINT (-74.001818 40.748379)"
"305774681","6","MANHATTAN","04/28/2025","02:55:00","04/28/2025","03:05:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","05/03/2025","(null)","(null)","(null)","(null)",,"65+","WHITE","F","983894","208270","40.738339","-74.001283","(40.738339, -74.001283)","POINT (-74.001283 40.738339)"
"304796387","62","BROOKLYN","01/12/2025","16:18:00","01/13/2025","00:22:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","04/15/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","983567","157858","40.599969","-74.002461","(40.599969, -74.002461)","POINT (-74.002461 40.599969)"
"311316293","10","MANHATTAN","08/16/2025","06:03:00","08/16/2025","06:10:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","08/16/2025","(null)","UNKNOWN","UNKNOWN","M",,"25-44","AMERICAN INDIAN/ALASKAN NATIVE","M","983746","211928","40.748379","-74.001818","(40.748379, -74.001818)","POINT (-74.001818 40.748379)"
"307918965","10","MANHATTAN","06/09/2025","23:27:00","06/10/2025","00:19:00","COMPLETED","(null)","553","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","06/11/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","E","983746","211928","40.748379","-74.001818","(40.748379, -74.001818)","POINT (-74.001818 40.748379)"
"313039565","66","BROOKLYN","09/15/2025","18:03:00","09/15/2025","18:39:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE - APT. HOUSE","09/17/2025","(null)","(null)","(null)","(null)",,"65+","ASIAN / PACIFIC ISLANDER","M","983463","173157","40.641963","-74.002836","(40.641963, -74.002836)","POINT (-74.002836 40.641963)"
"307932056","13","MANHATTAN","05/30/2025","04:05:00","05/30/2025","04:21:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","06/11/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","985592","209686","40.742225","-73.995158","(40.742225, -73.995158)","POINT (-73.995158 40.742225)"
"310419897","5","MANHATTAN","07/30/2025","01:33:00","07/30/2025","02:52:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","07/30/2025","(null)","25-44","BLACK","F",,"UNKNOWN","UNKNOWN","E","985022","199087","40.713135","-73.997214","(40.713135, -73.997214)","POINT (-73.997214 40.713135)"
"312905678","66","BROOKLYN","09/15/2025","02:00:00","09/15/2025","02:11:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","09/15/2025","(null)","18-24","BLACK HISPANIC","M",,"UNKNOWN","UNKNOWN","E","985479","169233","40.63119","-73.99557","(40.63119, -73.99557)","POINT (-73.99557 40.63119)"
"301549499","14","MANHATTAN","02/19/2025","08:31:00","02/19/2025","08:52:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","02/23/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","985970","215012","40.756844","-73.993792","(40.756844, -73.993792)","POINT (-73.993792 40.756844)"
"312259861","66","BROOKLYN","09/02/2025","23:30:00","09/02/2025","23:46:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","PRIVATE/PAROCHIAL SCHOOL","09/03/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","985632","170440","40.634505","-73.99502","(40.634505, -73.99502)","POINT (-73.99502 40.634505)"
"303104284","7","MANHATTAN","03/18/2025","16:00:00","03/18/2025","18:00:00","ATTEMPTED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","03/18/2025","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","987294","199464","40.714168","-73.989021","(40.714168, -73.989021)","POINT (-73.989021 40.714168)"
"302061537","5","MANHATTAN","03/04/2025","22:32:00","03/04/2025","22:33:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","HOSPITAL","03/04/2025","(null)","UNKNOWN","WHITE","M",,"UNKNOWN","UNKNOWN","D","986726","201918","40.720905","-73.991069","(40.720905, -73.991069)","POINT (-73.991069 40.720905)"
"302212941","7","MANHATTAN","01/01/2025","16:50:00","01/01/2025","17:10:00","ATTEMPTED","(null)",,"1","N.Y. TRANSIT POLICE","114","FELONY","(null)","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","TRANSIT - NYC SUBWAY","03/07/2025","EAST BROADWAY","UNKNOWN","UNKNOWN","U","4","UNKNOWN","UNKNOWN","E","986970","199426","40.71405458712","-73.99018838206","(40.714054587119456, -73.99018838205971)","POINT (-73.99018838205971 40.714054587119456)"
"302437570","7","MANHATTAN","03/10/2025","21:20:00","03/10/2025","21:40:00","COMPLETED","(null)","575","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","03/11/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","E","987481","198515","40.711564","-73.988344","(40.711564, -73.988344)","POINT (-73.988344 40.711564)"
"309771490","78","BROOKLYN","07/17/2025","05:55:00","07/17/2025","06:10:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","07/17/2025","(null)","UNKNOWN","UNKNOWN","M",,"45-64","WHITE","M","987687","186576","40.678794","-73.987609","(40.678794, -73.987609)","POINT (-73.987609 40.678794)"
"299262362","60","BROOKLYN","01/11/2025","10:00:00","01/11/2025","10:19:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","01/11/2025","(null)","25-44","ASIAN / PACIFIC ISLANDER","M",,"UNKNOWN","UNKNOWN","D","987616","152479","40.585205","-73.987881","(40.585205, -73.987881)","POINT (-73.987881 40.585205)"
"301179933","66","BROOKLYN","02/05/2025","15:50:00","02/05/2025","16:50:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","SYNAGOGUE","02/16/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","M","987705","168465","40.629084","-73.987552","(40.629084, -73.987552)","POINT (-73.987552 40.629084)"
"304730991","60","BROOKLYN","10/09/2024","00:19:00","10/09/2024","00:47:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","GAS STATION","04/14/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","F","987619","150091","40.578649","-73.98787","(40.578649, -73.98787)","POINT (-73.98787 40.578649)"
"309776170","78","BROOKLYN","07/16/2025","05:55:00","07/16/2025","06:10:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","07/17/2025","(null)","UNKNOWN","UNKNOWN","M",,"45-64","WHITE","M","987687","186576","40.678794","-73.987609","(40.678794, -73.987609)","POINT (-73.987609 40.678794)"
"301516215","13","MANHATTAN","02/21/2025","08:50:00","02/21/2025","09:10:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE - APT. HOUSE","02/22/2025","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","987991","210461","40.744353","-73.986498","(40.744353, -73.986498)","POINT (-73.986498 40.744353)"
"301726304","13","MANHATTAN","02/22/2025","08:15:00","02/22/2025","08:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","02/26/2025","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","987991","210461","40.744353","-73.986498","(40.744353, -73.986498)","POINT (-73.986498 40.744353)"
"308065838","84","BROOKLYN","06/14/2025","07:00:00","06/14/2025","07:45:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN NORTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","06/14/2025","(null)","45-64","BLACK","M",,"UNKNOWN","UNKNOWN","D","987764","194335","40.700089","-73.987325","(40.700089, -73.987325)","POINT (-73.987325 40.700089)"
"309847307","14","MANHATTAN","07/16/2025","05:02:00","07/16/2025","05:15:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","STREET","07/18/2025","(null)","UNKNOWN","WHITE","F",,"25-44","BLACK HISPANIC","M","988401","210676","40.744944","-73.98502","(40.744944, -73.98502)","POINT (-73.98502 40.744944)"
"309719706","78","BROOKLYN","07/16/2025","02:45:00","07/16/2025","02:50:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","STREET","07/16/2025","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","988774","185730","40.676472","-73.983688","(40.676472, -73.983688)","POINT (-73.983688 40.676472)"
"299183433","14","MANHATTAN","12/27/2024","23:47:00","12/28/2024","00:19:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","COLLEGE/UNIVERSITY","01/09/2025","(null)","UNKNOWN","UNKNOWN","M",,"UNKNOWN","UNKNOWN","D","988840","213570","40.752884","-73.983434","(40.752884, -73.983434)","POINT (-73.983434 40.752884)"
"306157995","84","BROOKLYN","04/13/2025","19:03:00","04/13/2025","22:59:00","COMPLETED","(null)","463","2","N.Y. HOUSING POLICE","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN NORTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","05/09/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","988512","194245","40.699842","-73.984629","(40.699842, -73.984629)","POINT (-73.984629 40.699842)"
"308699679","14","MANHATTAN","06/25/2025","08:45:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","DRUG STORE","06/26/2025","(null)","25-44","UNKNOWN","F",,"UNKNOWN","UNKNOWN","D","988594","212074","40.748779","-73.98432","(40.748779, -73.98432)","POINT (-73.98432 40.748779)"
"313088164","13","MANHATTAN","09/13/2025","22:36:00","09/13/2025","23:00:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","STREET","09/17/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","988674","209053","40.740487","-73.984036","(40.740487, -73.984036)","POINT (-73.984036 40.740487)"
"309087276","66","BROOKLYN","07/01/2025","00:52:00","07/01/2025","01:20:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","07/04/2025","(null)","(null)","(null)","(null)",,"65+","WHITE","M","990666","171760","40.638126","-73.976881","(40.638126, -73.976881)","POINT (-73.976881 40.638126)"
"301419202","14","MANHATTAN","02/20/2025","15:42:00","02/20/2025","15:56:00","ATTEMPTED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","FAST FOOD","02/20/2025","(null)","25-44","BLACK","M",,"45-64","WHITE HISPANIC","F","989767","213666","40.753149","-73.980088","(40.753149, -73.980088)","POINT (-73.980088 40.753149)"
"312887785","17","MANHATTAN","09/14/2025","17:40:00","09/14/2025","17:48:00","ATTEMPTED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO MAN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","09/14/2025","(null)","25-44","WHITE","M",,"UNKNOWN","UNKNOWN","D","992274","211078","40.746042","-73.971043","(40.746042, -73.971043)","POINT (-73.971043 40.746042)"
"301238925","88","BROOKLYN","02/17/2025","07:40:00","02/17/2025","08:25:00","COMPLETED","(null)","527","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN NORTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","02/17/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","BLACK","F","991652","192532","40.695138","-73.973307","(40.695138, -73.973307)","POINT (-73.973307 40.695138)"
"306978085","20","MANHATTAN","05/20/2025","21:20:00","05/20/2025","22:00:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN NORTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","05/24/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","991424","225785","40.786412","-73.974094","(40.786412, -73.974094)","POINT (-73.974094 40.786412)"
"298714557","9","MANHATTAN","01/01/2025","01:34:00",,"(null)","COMPLETED","RIIS II","73257","2","N.Y. HOUSING POLICE","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","01/01/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","BLACK","E","990831","202826","40.723393","-73.976257","(40.723393, -73.976257)","POINT (-73.976257 40.723393)"
"311590497","88","BROOKLYN","08/20/2025","04:35:00","08/20/2025","05:10:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO BKLYN NORTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","08/21/2025","(null)","(null)","(null)","(null)",,"25-44","UNKNOWN","M","992886","188143","40.68309","-73.968862","(40.68309, -73.968862)","POINT (-73.968862 40.68309)"
"310944555","88","BROOKLYN","08/08/2025","05:21:00","08/08/2025","05:55:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN NORTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","08/09/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","F","991724","192055","40.693829","-73.973048","(40.693829, -73.973048)","POINT (-73.973048 40.693829)"
"305587843","18","MANHATTAN","04/28/2025","07:10:00","04/28/2025","07:30:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO MAN SOUTH","263","ARSON 2,3,4","CHAIN STORE","04/30/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","991662","217612","40.763977","-73.973241","(40.763977, -73.973241)","POINT (-73.973241 40.763977)"
"311638750","88","BROOKLYN","08/20/2025","05:11:00","08/20/2025","05:16:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN NORTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","08/22/2025","(null)","UNKNOWN","UNKNOWN","M",,"UNKNOWN","UNKNOWN","M","993485","187940","40.682534","-73.966705","(40.682534, -73.966705)","POINT (-73.966705 40.682534)"
"311549878","77","BROOKLYN","08/20/2025","05:10:00","08/20/2025","05:43:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO BKLYN NORTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","08/20/2025","(null)","UNKNOWN","BLACK","M",,"25-44","WHITE","M","993615","187258","40.680663","-73.966236","(40.680663, -73.966236)","POINT (-73.966236 40.680663)"
"303626246","61","BROOKLYN","03/22/2025","15:12:00","03/22/2025","16:13:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BKLYN SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","03/25/2025","(null)","UNKNOWN","UNKNOWN","M",,"UNKNOWN","WHITE","M","993279","160911","40.608345","-73.967481","(40.608345, -73.967481)","POINT (-73.967481 40.608345)"
"312838131","70","BROOKLYN","09/12/2025","19:11:00","09/12/2025","19:21:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","(null)","ARSON","(null)","PATROL BORO BKLYN SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","09/12/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","BLACK","F","993445","173940","40.64409693","-73.96686645","(40.64409693, -73.96686645)","POINT (-73.96686645 40.64409693)"
